"G_CP [um]","L_CP [um]","Freq [GHz]","ang_rad(S(2,1)) []","mag(S(2,1)) []"
31,200,7.119505,-0.635595430739946,0.953973782187143
31,200,7.1195125,-0.638099382647618,0.95322385689405
31,200,7.11952,-0.640649623789448,0.952453924679771
31,200,7.1195275,-0.643247415832965,0.951663267546924
31,200,7.119535,-0.645894065378839,0.950851135434033
31,200,7.1195425,-0.648590925909134,0.950016744517185
31,200,7.11955,-0.651339399837762,0.94915927540717
31,200,7.1195575,-0.654140940663844,0.948277871236658
31,200,7.119565,-0.656997055236261,0.947371635629072
31,200,7.1195725,-0.659909306132194,0.946439630542105
31,200,7.11958,-0.662879314160889,0.945480873975808
31,200,7.1195875,-0.665908760995149,0.944494337537267
31,200,7.119595,-0.668999391941152,0.943478943850762
31,200,7.1196025,-0.672153018852871,0.94243356380326
31,200,7.11961,-0.675371523201212,0.941357013612803
31,200,7.1196175,-0.678656859303254,0.940248051708614
31,200,7.119625,-0.682011057726159,0.939105375407621
31,200,7.1196325,-0.685436228868706,0.937927617375289
31,200,7.11964,-0.688934566739437,0.936713341852216
31,200,7.1196475,-0.69250835293622,0.935461040631947
31,200,7.119655,-0.696159960838545,0.934169128772
31,200,7.1196625,-0.699891860031968,0.932835940016258
31,200,7.11967,-0.703706620970974,0.931459721910108
31,200,7.1196775,-0.707606919894336,0.930038630585759
31,200,7.119685,-0.711595544014637,0.928570725190935
31,200,7.1196925,-0.715675396988052,0.927053961938013
31,200,7.1197,-0.719849504688699,0.925486187742774
31,200,7.1197075,-0.724121021298277,0.923865133424524
31,200,7.119715,-0.728493235734354,0.922188406433281
31,200,7.1197225,-0.732969578428147,0.920453483071803
31,200,7.11973,-0.737553628487793,0.918657700168732
31,200,7.1197375,-0.742249121244288,0.916798246171284
31,200,7.119745,-0.747059956222187,0.91487215160629
31,200,7.1197525,-0.751990205544477,0.912876278867849
31,200,7.11976,-0.757044122800595,0.910807311279623
31,200,7.1197675,-0.762226152398346,0.908661741379617
31,200,7.119775,-0.767540939426453,0.906435858369292
31,200,7.1197825,-0.772993340047316,0.904125734668796
31,200,7.11979,-0.778588432448822,0.901727211511807
31,200,7.1197975,-0.784331528380091,0.899235883511644
31,200,7.119805,-0.79022818529031,0.896647082128215
31,200,7.1198125,-0.796284219098837,0.893955857957656
31,200,7.11982,-0.80250571761958,0.89115696176404
